Year,Units,Geography,District,Value
2014,Percent,,Kasena Nankana West,20.5
2014,Percent,,Kasena Nankana East,11.13
2014,Percent,,Bolgatanga Municipal,20.7
2014,Percent,,Talensi,24.03
2014,Percent,,Bongo,29.79
2014,Percent,,Bawku West,19.62
2014,Percent,,Garu Tempane,17.14
2014,Percent,,Bawku Municipal,17.13
2014,Percent,,Builsa South,14.47
2014,Percent,,Nabdam,15.79
2014,Percent,,Binduri,16.4
2014,Percent,,Pusiga,30.32
2014,Percent,Upper West Region,,17.49
2014,Percent,,Wa West,19.79
2014,Percent,,Wa Municipal,20.23
2014,Percent,,Wa East,7.97
2014,Percent,,Sissala East,13.71
2014,Percent,,Nadowli-Kaleo,17.5
2014,Percent,,Jirapa,19.25
2014,Percent,,Sissala West,14.54
2014,Percent,,Lambussie Karni,19.14
2014,Percent,,Lawra,14.11
2014,Percent,,Daffiama Bussie,14.34
2014,Percent,,Nandom,14.79
2014,Percent,Central Region,,14.62
2014,Percent,,Komenda-Edina-Eguafo-Abirem Municipal,12.12
2014,Percent,,Cape Coast Metropolis,23.25
2014,Percent,,Abura-Asebu-Kwamankese,10.86
2014,Percent,,Mfantsiman,11.75
2014,Percent,,Ajumako-Enyan-Essiam,7.26
2014,Percent,,Gomoa West,10.06
2014,Percent,,Effutu Municipal,12.32
2014,Percent,,Gomoa East,15.25
2014,Percent,,Awutu Senya,11.31
2014,Percent,,Agona East,10.59
2014,Percent,,Agona West Municipal,14.81
2014,Percent,,Asikuma-Odoben Brakwa,13.78
2014,Percent,,Assin South,8.37
2014,Percent,,Assin North Municipal,13.49
2014,Percent,,TwifoAti Morkwa,23.75
2014,Percent,,Upper Denkyira East Municipal,11.22
2014,Percent,,Upper Denkyira West,15.73
2014,Percent,,Twifo Heman Lower Denkyira,21.56
2014,Percent,,Ekumfi,5.45
2014,Percent,,Awutu Senya East Municipal,14.9
2014,Percent,Brong Ahafo Region,,16
2014,Percent,,Asunafo South,13.04
2014,Percent,,Asunafo North Municipal,31.84
2014,Percent,,Asutifi North,26.32
2014,Percent,,Dormaa Municipal,10.64
2014,Percent,,Dormaa Central Municipal,13.98
2014,Percent,,Tano South,11.94
2014,Percent,,Tano North,12.48
2014,Percent,,Sunyani Municipal,14.02
2014,Percent,,Sunyani West,13.4
2014,Percent,,Berekum Municipal,19.51
2014,Percent,,Jaman South,11.21
2014,Percent,,Jaman North,9.47
2014,Percent,,Tain,16.11
2014,Percent,,Wenchi Municipal,10.94
2014,Percent,,Techiman Municipal,17.99
2014,Percent,,Nkoranza South,15.88
2014,Percent,,Nkoranza North,7.15
2014,Percent,,Atebubu Amantin,11.6
2014,Percent,,Sene West,12.37
2014,Percent,,Pru,19.73
2014,Percent,,Kintampo South,12.57
2014,Percent,,Kintampo North Municipal,16.96
2014,Percent,,Asutifi South,10.75
2014,Percent,,Dormaa West,9.74
2014,Percent,,Techiman North,29.05
2014,Percent,,Banda,31.8
2014,Percent,,Sene East,7.88
